Company,Item,Type,Certifivate,lng,lat
㈜사조대림,어묵,어묵,1999-04-06,126.756951,37.320724
롯데제과㈜(양산),빙과,빙과류,1999-12-18,129.037407,35.335043
씨제이제일제당㈜(인천1),만두류(냉동),냉동식품,1999-12-18,126.622787,37.442707
씨제이제일제당㈜(인천1),기타가공품,규격외일반가공식품,1999-12-18,126.622787,37.442707
롯데제과㈜(서울),빙과류,빙과류,1999-12-18,126.896252,37.52641
㈜동원F&B 성남공장,어묵,어묵,2000-01-29,127.137109,37.430641
㈜대한항공기내식사업본부,즉석섭취식품,즉석섭취식품,2000-11-20,126.814494,37.551891
이조케터링 서부지원,집단급식소 조리식품(위탁),집단급식소,2000-11-20,126.955643,37.549404
㈜청아냉동식품,만두류(냉동),냉동식품,2001-09-27,128.946085,35.930767
㈜동원F&B 창원공장,수산물가공품(통조림),규격외일반가공식품(수산물가공품),2002-01-21,128.681707,35.227962
태경농산㈜안성공장,소스류(가열제품에 한함),조미식품,2002-01-21,127.263887,36.979313
㈜한미양행,건강보조식품류(키토산),건강기능식품,2002-01-21,126.785403,37.87737
㈜동원F&B,만두류(냉동),냉동식품,2002-02-18,127.014777,36.899497
㈜동원F&B,기타가공품(냉동),규격외일반가공식품,2002-02-18,127.014777,36.899497
㈜비알코리아,빙과류,빙과류,2002-03-12,127.690467,36.940288
㈜현대그린푸드(현대백화점미아점),집단급식소 조리식품(위탁),집단급식소,2002-03-12,127.028743,37.608406
대상㈜,고추장,장류,2002-05-21,127.14551,35.358468
대상㈜,된장,장류,2002-05-21,127.14551,35.358468
대상㈜,양조간장,장류,2002-05-21,127.14551,35.358468
대상㈜,혼합장,장류,2002-05-21,127.14551,35.358468
대상㈜,한식간장,장류,2002-05-21,127.14551,35.358468
샘표식품㈜ 이천공장,혼합간장,장류,2002-05-21,127.393191,37.212248
샘표식품㈜ 이천공장,양조간장,장류,2002-05-21,127.393191,37.212248
롯데칠성음료㈜ 대전공장,과채주스,음료류,2002-05-21,127.415617,36.346732
롯데칠성음료㈜ 대전공장,과채음료,음료류,2002-05-21,127.415617,36.346732
롯데칠성음료㈜ 대전공장,탄산음료,음료류,2002-05-21,127.415617,36.346732
롯데칠성음료㈜ 대전공장,혼합음료,음료류,2002-05-21,127.415617,36.346732
롯데칠성음료㈜ 대전공장,커피,커피,2002-05-21,127.415617,36.346732
롯데칠성음료㈜ 대전공장,액상차,다류,2002-05-21,127.415617,36.346732
롯데칠성음료㈜(양산),과채주스,음료류,2002-05-21,129.044708,35.363066
롯데칠성음료㈜(양산),과채음료,음료류,2002-05-21,129.044708,35.363066
롯데칠성음료㈜(양산),탄산음료,음료류,2002-05-21,129.044708,35.363066
롯데칠성음료㈜(양산),혼합음료,음료류,2002-05-21,129.044708,35.363066
롯데칠성음료㈜(양산),커피(액상커피),커피,2002-05-21,129.044708,35.363066
롯데칠성음료㈜오포공장,과채주스,음료류,2002-05-21,127.251843,37.374745
롯데칠성음료㈜오포공장,과채음료,음료류,2002-05-21,127.251843,37.374745
롯데칠성음료㈜오포공장,탄산음료,음료류,2002-05-21,127.251843,37.374745
롯데칠성음료㈜오포공장,혼합음료,음료류,2002-05-21,127.251843,37.374745
샘표식품㈜ 영동공장,고추장,장류,2002-05-21,127.78228,36.271337
샘표식품㈜ 영동공장,된장,장류,2002-05-21,127.78228,36.271337
㈜아모레퍼시픽,침출차,다류,2002-08-10,127.440424,36.986846
㈜아모레퍼시픽,고형차,다류,2002-08-10,127.440424,36.986846
㈜풀무원녹즙,과채주스(비가열음료),비가열음료,2002-09-18,127.618945,36.831318
㈜대한항공기내식기판사업본부,즉석섭취식품,즉석섭취식품,2002-09-18,126.447706,37.481226
씨제이제일제당㈜(논산),고추장,장류,2002-11-08,127.098742,36.187163
씨제이제일제당㈜(논산),혼합장,장류,2002-11-08,127.098742,36.187163
동서식품㈜(인천1),커피,커피,2003-01-11,126.714489,37.522012
동서식품㈜(인천2),식물성크림,기타식품류,2003-01-11,126.716916,37.52294
샘표식품㈜ 영동공장,혼합장,장류,2003-03-12,127.78228,36.271337
대상㈜ 천안공장,소스류,조미식품,2003-03-12,127.113661,36.815008
㈜푸르온,냉동식품(만두류),냉동식품,2003-04-02,127.101362,36.730892
㈜현대그린푸드 현대백화점목동점,집단급식소 조리식품(위탁),집단급식소,2003-04-02,126.874893,37.527064
㈜대원물산,냉동수산식품(어류),냉동수산식품,2003-04-10,127.131101,37.223628
㈜대원물산,냉동수산식품(연체류),냉동수산식품,2003-04-10,127.131101,37.223628
㈜남부식품,어묵,어묵,2003-05-06,128.064242,35.003466
동원홈푸드 동원F&B창원,집단급식소 조리식품,집단급식소,2003-06-09,128.635142,35.219913
한성식품,어묵,어묵,2003-06-16,126.723224,36.802347
㈜취영루,냉동식품(만두류),냉동식품,2003-07-30,126.779958,37.760141
동서유지㈜,가공유지,식용유지류,2003-08-18,128.611121,35.246529
대상㈜ 기흥공장,복합조미식품,조미식품,2003-09-03,127.177877,37.241046
한일후드㈜,냉동식품(만두류),냉동식품,2003-10-15,127.811684,36.327996
매일유업㈜ 영동공장,커피,커피,2003-11-27,127.783425,36.175011
농업회사법인 ㈜오설록농장 월출산공장,침출차(녹차),다류,2003-12-18,126.706108,34.740869
농업회사법인 ㈜오설록농장 돌송이공장,침출차(녹차),다류,2003-12-18,126.482843,33.272738
농업회사법인 ㈜오설록농장 서광공장,침출차(녹차),다류,2003-12-18,126.292215,33.305264
농업회사법인 ㈜오설록농장 한남공장,침출차(녹차),다류,2003-12-18,126.679515,33.316547
삼양냉동 주식회사,냉동식품(만두류),냉동식품,2003-12-26,127.292362,36.592892
동해수산,냉동수산식품(어류),냉동수산식품,2004-01-30,127.110032,37.512004
동해수산,냉동수산식품(연체류),냉동수산식품,2004-01-30,127.110032,37.512004
㈜동화수산,냉동수산식품(어류),냉동수산식품,2004-03-15,126.813481,37.408508
㈜동화수산,냉동수산식품(연체류),냉동수산식품,2004-03-15,126.813481,37.408508
㈜동화오션,냉동수산식품(어류),냉동수산식품,2004-04-26,126.675262,37.470509
㈜동화오션,냉동수산식품(연체류),냉동수산식품,2004-04-26,126.675262,37.470509
대상㈜횡성공장,김치(배추김치),배추김치,2004-04-30,127.984878,37.491874
대상㈜횡성공장,김치(기타김치),김치류,2004-04-30,127.984878,37.491874
